_RAJ2000,_DEJ2000,HIP,RAhms,DEdms,Vmag,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA.icrs,_DE.icrs
deg,deg, , , ,mag,deg,deg,mas,mas/yr,mas/yr,mas,mag, ,deg,deg
--------------,--------------,------,-----------,-----------,-----,------------,------------,-------,--------,--------,------,------,-,------------,------------
001.2659281589,-0.503035492,417,00 05 03.80,-00 30 10.5,6.32,001.26581912,-0.50290553,6.95,44.86,-53.47,0.81,1.099, ,001.26592816,-0.50303549
001.2756246682,61.31397012,418,00 05 06.13,+61 18 50.3,5.8,001.27555231,61.31396468,4.5,14.29,2.24,0.56,-0.067, ,001.27562467,61.31397012
001.2906591833,45.2290293,424,00 05 09.78,+45 13 44.7,6.71,001.29075302,45.22907883,6.66,-27.19,-20.38,0.75,0.068, ,001.29065918,45.2290293
001.3041876250,35.57101204,432,00 05 13.00,+35 34 16.0,6.88,001.30417878,35.57110311,10.35,2.96,-37.47,0.81,0.174, ,001.30418762,35.57101204
001.3331959087,-38.85715225,441,00 05 19.91,-38 51 26.0,6.93,001.33296709,-38.85723115,4.29,73.31,32.46,0.83,0.94, ,001.33319591,-38.85715225
001.3339204803,-5.707618199,443,00 05 20.15,-05 42 28.2,4.61,001.33394073,-5.70783255,25.38,-8.29,88.19,1.05,1.029, ,001.33392048,-5.7076182
001.3426627843,3.606091783,448,00 05 22.25,+03 36 22.0,6.91,001.34271288,3.60610712,6.75,-20.57,-6.31,1.03,1.12, ,001.34266278,3.60609178
001.3676763226,-7.665420275,458,00 05 28.23,-07 39 55.2,6.97,001.36762563,-7.66532823,3.07,20.67,-37.87,0.93,1.444, ,001.36767632,-7.66542028
001.4155356314,55.70989788,472,00 05 39.72,+55 42 35.6,6.99,001.41549758,55.7099023,4.25,8.82,-1.82,0.78,1.187, ,001.41553563,55.70989788
001.4248387927,13.39626645,476,00 05 41.94,+13 23 46.6,5.55,001.42473238,13.39628227,8.75,42.59,-6.51,0.8,0.901, ,001.42483879,13.39626645
001.4863809312,24.5690046,496,00 05 56.71,+24 34 08.6,6.9,001.48628758,24.56904604,5.31,34.93,-17.05,0.73,1.564, ,001.48638093,24.5690046
001.5022284221,28.27694911,502,00 06 00.54,+28 16 37.1,6.62,001.50224247,28.27696051,2.9,-5.09,-4.69,0.77,1.531, ,001.50222842,28.27694911
001.5177222444,40.41853013,508,00 06 04.26,+40 25 06.7,6.65,001.51773179,40.41853643,3.28,-2.99,-2.59,0.85,0.912, ,001.51772224,40.41853013
001.5658925487,58.43673285,518,00 06 15.54,+58 26 12.1,5.98,001.56474395,58.43668966,49.3,247.36,17.77,1.05,0.687, ,001.56589255,58.43673285
001.5798976514,-49.07519111,522,00 06 18.66,-49 04 30.3,5.7,001.57776340,-49.07509405,39,575.21,-39.94,0.64,0.519, ,001.57989765,-49.07519111
001.5842004340,40.89874554,525,00 06 20.14,+40 53 55.4,6.93,001.58393383,40.89871965,8.6,82.91,10.65,0.73,1.086, ,001.58420043,40.89874554
001.6105827123,64.19616861,531,00 06 26.53,+64 11 46.2,5.57,001.61052855,64.19616859,3.32,9.7,0.01,0.54,-0.023, ,001.61058271,64.19616861
001.6480838806,28.55340396,540,00 06 35.55,+28 33 12.4,6.68,001.64810682,28.55343687,5.13,-8.29,-13.54,0.79,0.986, ,001.64808388,28.55340396
