_RAJ2000,_DEJ2000,HIP,RAhms,DEdms,Vmag,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA.icrs,_DE.icrs
deg,deg, , , ,mag,deg,deg,mas,mas/yr,mas/yr,mas,mag, ,deg,deg
--------------,--------------,------,-----------,-----------,-----,------------,------------,-------,--------,--------,------,------,-,------------,------------
129.7919685,59.93912579,42434,08 39 10.10,+59 56 21.3,6.47,129.7921015,59.93924272,9.05,-27.41,-48.11,0.73,0.035, ,129.7919685,59.93912579
129.7987665,65.02090663,42438,08 39 11.74,+65 01 14.5,5.63,129.7989262,65.02069298,70.07,-27.73,87.9,0.71,0.618, ,129.7987665,65.02090663
129.8049805,-60.3172887,42440,08 39 13.24,-60 19 02.4,6.35,129.805183,-60.31733717,7.46,-41.25,19.94,0.64,-0.002, ,129.8049805,-60.3172887
129.8093352,-37.47013857,42441,08 39 14.25,-37 28 12.7,6.91,129.8093844,-37.4702056,2.67,-16.06,27.58,0.6,1.678, ,129.8093352,-37.47013857
129.8101547,-69.27391765,42442,08 39 14.44,-69 16 26.2,6.99,129.8101717,-69.27394463,2.5,-2.47,11.1,0.52,-0.122, ,129.8101547,-69.27391765
129.8121687,-12.73747468,42444,08 39 14.92,-12 44 14.8,6.65,129.8121703,-12.73745694,3.85,-0.65,-7.3,0.85,0.032, ,129.8121687,-12.73747468
129.8234291,52.71162301,42452,08 39 17.65,+52 42 42.1,5.91,129.8235465,52.71169928,8.21,-29.26,-31.38,0.8,1.167, ,129.8234291,52.71162301
129.8420542,-36.60668522,42455,08 39 22.21,-36 36 24.5,6.12,129.8425554,-36.60681885,24.86,-165.53,54.98,0.55,0.426, ,129.8420542,-36.60668522
129.8493473,-53.43976748,42459,08 39 23.87,-53 26 23.4,5.45,129.8494451,-53.43982462,7.23,-23.97,23.51,0.45,-0.132, ,129.8493473,-53.43976748
129.8523162,8.017600426,42462,08 39 24.57,+08 01 03.6,6.46,129.8523892,8.01767028,5.92,-29.71,-28.74,0.93,1.08, ,129.8523162,8.01760043
129.8827579,32.5156155,42472,08 39 31.87,+32 30 56.4,6.71,129.8827894,32.51565801,2.83,-10.93,-17.49,0.84,1.453, ,129.8827579,32.5156155
129.9204377,-29.08267316,42482,08 39 40.89,-29 04 57.4,6.94,129.9203879,-29.08260659,6.18,17.91,-27.39,0.64,1.118, ,129.9204377,-29.08267316
129.9269737,-29.56108368,42483,08 39 42.49,-29 33 39.1,4.86,129.9270448,-29.56086189,13.83,-25.41,-91.25,0.52,0.9, ,129.9269738,-29.56108368
129.9275384,73.62967817,42484,08 39 42.64,+73 37 47.7,6.16,129.9276543,73.62991882,9.18,-13.45,-99.01,0.6,1.017, ,129.9275384,73.62967817
129.9277284,19.77845555,42485,08 39 42.68,+19 46 42.5,6.65,129.927822,19.77848535,6.14,-36.27,-12.26,0.96,0.248,P,129.9277284,19.77845555
129.9613149,19.54081791,42497,08 39 50.74,+19 32 27.0,6.59,129.9614018,19.54084479,4.5,-33.71,-11.06,1.72,0.956, ,129.9613149,19.54081791
129.9730915,-17.30297809,42502,08 39 53.54,-17 18 09.4,6.59,129.9730898,-17.30260736,5.12,0.65,-152.53,0.92,1.334, ,129.9730915,-17.30297809
129.9848112,32.72726879,42503,08 39 56.37,+32 43 38.5,6.7,129.984881,32.7273515,6.47,-24.14,-34.03,0.82,1.122, ,129.9848112,32.72726879
129.9899896,-53.05472958,42504,08 39 57.62,-53 03 17.2,5.18,129.990094,-53.05478181,7.61,-25.81,21.49,0.46,-0.147,P,129.9899896,-53.05472958
129.9965724,-59.54691294,42505,08 39 59.19,-59 32 48.9,6.78,129.9966173,-59.54692084,3.14,-9.37,3.25,0.48,-0.088, ,129.9965724,-59.54691294
130.0061318,-12.47537215,42509,08 40 01.52,-12 28 31.3,4.98,130.0063307,-12.47537441,7.78,-79.88,0.93,0.82,1.415, ,130.0061318,-12.47537215
130.0255978,-35.30835239,42515,08 40 06.14,-35 18 29.9,3.97,130.0255689,-35.30830091,8.4,9.68,-21.18,0.55,0.936, ,130.0255978,-35.30835239
130.026744,20.00778784,42516,08 40 06.44,+20 00 28.1,6.39,130.0268346,20.00781645,5.55,-35.02,-11.77,0.89,0.98, ,130.026744,20.00778784
130.04772,19.97113142,42523,08 40 11.47,+19 58 16.2,6.61,130.0478101,19.97116768,5.72,-34.84,-14.92,0.84,0.006, ,130.04772,19.97113142
130.0534109,64.32793601,42527,08 40 12.90,+64 19 40.3,4.59,130.0537443,64.32787175,12.92,-59.42,26.44,0.71,1.179, ,130.0534109,64.32793601
130.0555685,6.565636198,42528,08 40 13.35,+06 33 55.9,6.6,130.0556047,6.56553392,12.32,-14.8,42.08,0.97,0.899, ,130.0555685,6.5656362
130.0727674,-53.0153978,42535,08 40 17.49,-53 00 55.6,5.56,130.0728703,-53.01545412,6.91,-25.47,23.17,0.49,-0.125, ,130.0727674,-53.0153978
130.0732724,-52.9218873,42536,08 40 17.61,-52 55 19.1,3.6,130.0733717,-52.92197259,6.59,-24.62,35.09,0.51,-0.168, ,130.0732724,-52.9218873
130.0751901,1.920169594,42537,08 40 18.04,+01 55 12.9,6.76,130.0751538,1.92026232,3.88,14.91,-38.15,1.2,1.382, ,130.0751901,1.92016959
130.0761959,31.94189817,42538,08 40 18.31,+31 56 31.1,6.21,130.0763086,31.94197425,9.31,-39.35,-31.3,0.81,0.401, ,130.0761959,31.94189817
130.0798932,-40.26387468,42540,08 40 19.22,-40 15 50.0,5.2,130.0800714,-40.2638933,11.63,-55.93,7.66,0.57,-0.027, ,130.0798932,-40.26387468
130.0839342,19.34898878,42542,08 40 20.17,+19 20 56.5,6.76,130.0840234,19.34902575,6.75,-34.6,-15.21,1.03,0.271,P,130.0839342,19.34898878
130.0879365,-42.38919822,42544,08 40 21.13,-42 23 21.4,6.85,130.0880489,-42.38928047,9.56,-34.17,33.84,0.85,0.16, ,130.0879365,-42.38919822
130.0920292,19.66993839,42549,08 40 22.11,+19 40 11.9,6.42,130.0921201,19.66997035,4.31,-35.22,-13.15,0.93,1.02, ,130.0920292,19.66993839
130.1125483,19.54480758,42556,08 40 27.03,+19 32 41.4,6.29,130.1126354,19.54484056,5.95,-33.74,-13.57,0.91,0.17, ,130.1125484,19.54480758
130.1356213,10.92413877,42560,08 40 32.55,+10 55 27.0,6.78,130.1356434,10.92415318,3.74,-8.9,-5.93,0.95,1.382, ,130.1356213,10.92413877
130.1402596,33.2772523,42562,08 40 33.68,+33 16 38.3,6.74,130.1403268,33.27729223,8.22,-23.12,-16.43,0.87,1.071, ,130.1402596,33.2772523
130.1469134,-45.19110263,42564,08 40 35.26,-45 11 28.0,5.67,130.1469018,-45.19111481,3.43,3.36,5.01,0.55,1.664, ,130.1469134,-45.19110263
130.15428,-59.76100272,42568,08 40 37.04,-59 45 39.7,4.31,130.1543132,-59.76101468,2.31,-6.87,4.92,0.46,-0.117,P,130.15428,-59.76100272
130.1565414,-46.64874449,42570,08 40 37.58,-46 38 55.5,3.77,130.1565637,-46.64875492,1.05,-6.3,4.29,0.49,0.67, ,130.1565414,-46.64874449
130.1790511,51.43074823,42576,08 40 42.99,+51 25 50.3,6.88,130.1791293,51.43063883,4.78,-20.04,45.01,0.89,0.958, ,130.1790511,51.43074823
130.1800271,19.71931409,42578,08 40 43.23,+19 43 09.6,6.83,130.1801156,19.71934316,6.44,-34.26,-11.96,0.93,0.202, ,130.1800271,19.71931409
130.1813611,-57.54548959,42579,08 40 43.55,-57 32 43.9,6.34,130.1814647,-57.54553217,14.38,-22.87,17.52,0.61,0.208, ,130.1813611,-57.54548959
130.2225043,-48.2255088,42595,08 40 53.40,-48 13 31.9,6.95,130.2225174,-48.22551417,1.59,-3.6,2.21,0.57,-0.148, ,130.2225043,-48.2255088
130.2345814,19.58033821,42600,08 40 56.32,+19 34 49.3,6.77,130.2346655,19.58036383,5.46,-32.61,-10.54,0.93,0.169,P,130.2345814,19.58033821
130.2544616,45.83401001,42604,08 41 01.05,+45 50 01.6,5.35,130.2543668,45.83378521,18.11,27.19,92.49,0.76,0.993, ,130.2544616,45.83401001
130.2567538,-9.051999345,42606,08 41 01.64,-09 03 07.2,6.64,130.2568396,-9.05200513,7.63,-34.85,2.38,0.87,0.017, ,130.2567538,-9.05199935
130.2695077,-66.81631932,42613,08 41 04.71,-66 48 58.8,6.71,130.2696443,-66.81633235,5.54,-22.12,5.36,0.49,-0.088, ,130.2695077,-66.81631932
130.2721675,-48.9226802,42614,08 41 05.32,-48 55 21.7,5.9,130.2721846,-48.922689,2.03,-4.64,3.62,0.51,-0.186, ,130.2721675,-48.9226802
130.3047125,-47.31712459,42624,08 41 13.14,-47 19 01.7,4.74,130.3047503,-47.31714129,1.72,-10.53,6.87,0.46,0.137, ,130.3047126,-47.31712459
130.3137966,20.47690526,42628,08 41 15.31,+20 28 36.8,6.72,130.3137901,20.47690205,6.23,2.51,1.32,1.26,0.112, ,130.3137966,20.47690526
130.3313009,-78.96335934,42637,08 41 19.60,-78 57 48.3,5.46,130.331673,-78.96342637,10.32,-29.31,27.58,0.43,-0.101, ,130.3313009,-78.96335934
130.395436,-44.99191322,42653,08 41 34.91,-44 59 31.0,6.7,130.395477,-44.9919384,2.49,-11.92,10.36,0.55,-0.106, ,130.395436,-44.99191322
130.4305672,-15.94338398,42662,08 41 43.33,-15 56 35.3,4.87,130.4305582,-15.94314865,15.98,3.54,-96.82,0.8,1.063, ,130.4305672,-15.94338398
130.4586729,19.87417052,42673,08 41 50.10,+19 52 27.1,6.9,130.458763,19.87420516,3.55,-34.85,-14.25,0.9,0.959, ,130.4586729,19.87417052
130.4871192,-45.4107139,42679,08 41 56.91,-45 24 38.6,5.2,130.4871396,-45.4107261,1.21,-5.9,5.02,0.52,0.171, ,130.4871192,-45.4107139
130.5408883,-11.96600846,42701,08 42 09.83,-11 57 57.5,6.46,130.5409578,-11.96597346,8.6,-27.96,-14.4,0.8,0.16, ,130.5408883,-11.96600846
130.5674716,-48.09909047,42712,08 42 16.20,-48 05 56.8,5.48,130.5674896,-48.099099,1.93,-4.92,3.51,0.57,-0.172, ,130.5674716,-48.09909047
130.5791353,-53.1000564,42715,08 42 19.02,-53 06 00.4,5.49,130.5792293,-53.10011485,6.75,-23.22,24.05,0.53,-0.127,P,130.5791353,-53.1000564
130.5867609,-55.77455667,42717,08 42 20.90,-55 46 28.8,6.26,130.5870807,-55.77465771,9.86,-73.99,41.57,0.48,1.178, ,130.5867609,-55.77455667
130.605776,-53.11398421,42726,08 42 25.41,-53 06 50.5,4.83,130.6058767,-53.11404062,6.8,-24.88,23.21,0.46,-0.173, ,130.605776,-53.11398421
130.6179326,-47.52131873,42728,08 42 28.31,-47 31 16.4,6.73,130.617974,-47.52120914,9.76,-11.51,-45.09,0.88,0.232, ,130.6179326,-47.52131873
130.6541405,-4.410224751,42739,08 42 36.99,-04 24 36.6,6.9,130.6541295,-4.41015757,2.06,4.5,-27.64,0.94,1.382, ,130.6541405,-4.41022475
130.6973705,-46.80726491,42754,08 42 47.45,-46 48 26.9,6.92,130.6977079,-46.80747056,12.93,-95.01,84.61,0.57,0.274, ,130.6973705,-46.80726491
130.713687,73.16920469,42760,08 42 51.30,+73 10 09.2,6.95,130.7137377,73.16921648,4.13,-6.04,-4.85,0.63,0.012, ,130.713687,73.16920469
130.7240471,-9.805563284,42769,08 42 53.79,-09 48 19.8,6.9,130.7241051,-9.80551093,9.23,-23.52,-21.54,0.93,0.166, ,130.7240471,-9.80556328
130.7374956,-35.94330064,42775,08 42 57.01,-35 56 36.1,6.42,130.7375272,-35.94334976,7.43,-10.54,20.21,0.57,0.019, ,130.7374956,-35.94330064
130.750639,46.90084552,42777,08 43 00.19,+46 54 03.6,6.21,130.7508094,46.90099532,7.92,-47.9,-61.63,0.78,0.981, ,130.750639,46.90084552
130.7786688,-45.56174563,42788,08 43 06.89,-45 33 42.3,6.87,130.7786985,-45.56175868,2.09,-8.57,5.37,0.61,1.51, ,130.7786688,-45.56174563
130.8008917,-79.07008175,42794,08 43 12.31,-79 04 12.5,6.05,130.8012869,-79.0701501,10.23,-30.83,28.12,0.46,0.229,P,130.8008917,-79.07008175
130.8013719,12.6808759,42795,08 43 12.34,+12 40 51.1,5.62,130.8013968,12.6808708,3.17,-9.98,2.1,0.91,0.435, ,130.8013719,12.6808759
130.8061465,3.398662255,42799,08 43 13.49,+03 23 55.2,4.3,130.8061932,3.39866539,6.99,-19.14,-1.29,0.92,-0.192, ,130.8061466,3.39866225
130.821442,21.46850069,42806,08 43 17.21,+21 28 06.9,4.66,130.8217213,21.46859609,20.58,-106.94,-39.25,0.87,0.01, ,130.821442,21.46850069
130.8251265,-38.88237942,42808,08 43 18.26,-38 52 59.5,6.58,130.8260664,-38.88320766,89.78,-301.02,340.76,0.56,0.917, ,130.8251265,-38.88237942
130.8755642,-61.68880736,42819,08 43 30.01,-61 41 19.1,6.85,130.8750542,-61.68864386,3.91,99.51,-67.27,0.5,-0.111, ,130.8755642,-61.68880736
130.898073,-33.18638557,42828,08 43 35.55,-33 11 11.1,3.68,130.8981145,-33.18641133,3.86,-14.28,10.6,0.53,-0.18, ,130.898073,-33.18638557
130.9178033,-49.82280194,42834,08 43 40.28,-49 49 22.1,5.15,130.9178167,-49.82281081,2.15,-3.56,3.65,0.57,-0.197, ,130.9178033,-49.82280194
130.9182227,-7.233730362,42835,08 43 40.38,-07 14 01.4,4.63,130.9182513,-7.23372781,5.4,-11.68,-1.05,0.96,0.84, ,130.9182227,-7.23373036
130.9763689,-68.21158037,42850,08 43 54.33,-68 12 41.9,6.33,130.9763591,-68.21164561,3.1,1.51,26.84,0.51,1.501, ,130.9763689,-68.21158037
130.9990748,4.334557668,42854,08 43 59.79,+04 20 04.5,6.37,130.9991114,4.33457298,4.42,-15.01,-6.3,1.14,-0.04, ,130.9990748,4.33455767
131.0033501,-38.77933052,42857,08 44 00.80,-38 46 46.1,6.99,131.003354,-38.77946131,5.76,-1.26,53.81,0.6,0.982, ,131.0033501,-38.77933052
131.0422177,36.91834398,42871,08 44 10.15,+36 55 06.7,6.54,131.0423021,36.91853935,15.31,-27.76,-80.38,0.83,0.469, ,131.0422177,36.91834398
131.0779113,-37.52687254,42879,08 44 18.72,-37 31 36.6,6.78,131.0779814,-37.52683786,5.41,-22.88,-14.27,0.56,1.404, ,131.0779113,-37.52687254
131.0997794,-42.64927601,42884,08 44 23.97,-42 38 57.6,4.05,131.0998583,-42.64932331,14.27,-23.88,19.46,0.54,0.874, ,131.0997794,-42.64927601
131.1248229,-65.82542892,42895,08 44 30.05,-65 49 32.5,6.03,131.1252001,-65.82568206,16.49,-63.56,104.15,0.46,0.217, ,131.1248229,-65.82542892
131.1298823,5.285851441,42899,08 44 31.20,+05 17 09.0,6.87,131.1299951,5.28582767,8.18,-46.21,9.78,0.93,0.118, ,131.1298823,5.28585144
131.1712484,18.15430871,42911,08 44 41.11,+18 09 17.5,3.94,131.1712921,18.15486399,23.97,-17.1,-228.46,0.83,1.083, ,131.1712484,18.15430871
131.1728132,-23.78841102,42912,08 44 41.45,-23 47 17.9,6.72,131.172694,-23.78831338,6.25,44.91,-40.17,0.69,1.263, ,131.1728132,-23.78841102
131.1759432,-54.70882109,42913,08 44 42.20,-54 42 30.8,1.93,131.1758221,-54.70856797,40.9,28.78,-104.14,0.38,0.043, ,131.1759432,-54.70882109
131.1781386,-74.78803501,42915,08 44 42.76,-74 47 17.0,6.66,131.1781785,-74.7880599,8.03,-4.3,10.24,0.57,1.22, ,131.1781386,-74.78803501
131.1876525,10.08167029,42917,08 44 45.04,+10 04 54.2,5.63,131.1876859,10.08171256,8,-13.55,-17.39,0.84,-0.069,P,131.1876525,10.08167029
131.2115193,-44.54259625,42922,08 44 50.92,-44 32 34.5,6.56,131.2121828,-44.54292426,27.77,-194.56,134.95,0.57,0.567, ,131.2115193,-44.54259625
131.216362,-37.14724952,42923,08 44 51.93,-37 08 50.1,5.74,131.2163872,-37.1472599,2.28,-8.27,4.27,0.52,-0.139, ,131.216362,-37.14724952
131.2297834,-21.16782641,42928,08 44 55.16,-21 10 04.2,6.1,131.2298477,-21.16783642,12.78,-24.66,4.12,0.75,0.195, ,131.2297834,-21.16782641
131.2553357,5.680587611,42931,08 45 01.28,+05 40 50.1,6.13,131.2553296,5.68059675,15.78,2.52,-3.76,0.9,0.2, ,131.2553357,5.68058761
131.2731014,-58.72431896,42936,08 45 05.55,-58 43 27.6,6.2,131.2731261,-58.7243202,3.27,-5.27,0.51,0.85,-0.083, ,131.2731014,-58.72431896
131.2868744,-32.2492625,42937,08 45 08.81,-32 14 56.6,6.89,131.2867015,-32.24906563,14.73,60.15,-81,0.67,0.325, ,131.2868744,-32.2492625
131.322614,-6.978525987,42949,08 45 17.43,-06 58 42.6,6.66,131.3226202,-6.9785054,5.18,-2.54,-8.47,1.09,1.472, ,131.322614,-6.97852599
131.3365305,-2.601061966,42951,08 45 20.77,-02 36 03.7,6.41,131.3365214,-2.60102981,11.5,3.77,-13.23,2.71,0.521, ,131.3365305,-2.60106197
131.3392595,30.69775174,42954,08 45 21.42,+30 41 51.9,6.12,131.3392688,30.69776209,6.84,-3.27,-4.26,0.76,0.935, ,131.3392595,30.69775174
131.3471699,0.197764457,42957,08 45 23.34,+00 11 52.0,6.55,131.3472332,0.19776995,9.07,-26.03,-2.26,0.97,1.008, ,131.3471699,0.19776446
131.3732829,18.81748867,42970,08 45 29.65,+18 49 02.9,6.77,131.3735347,18.81748568,15.95,-98.03,1.23,0.86,0.39, ,131.373283,18.81748867
131.3952704,4.664376442,42981,08 45 34.84,+04 39 52.4,6.45,131.395164,4.66456464,7.87,43.63,-77.43,0.98,1.228, ,131.3952704,4.66437644
131.4076328,37.29159472,42983,08 45 37.87,+37 17 30.2,6.95,131.4077965,37.29172407,12.08,-53.57,-53.22,0.86,0.297, ,131.4076328,37.29159472
131.4088588,-77.07531479,42984,08 45 38.13,-77 04 31.0,6.85,131.4088946,-77.07527665,6.18,-3.3,-15.69,0.92,0.059, ,131.4088588,-77.07531479
131.4328288,-55.85474332,42989,08 45 43.95,-55 51 18.0,6.77,131.4331287,-55.85500254,12.01,-69.25,106.65,0.49,0.299, ,131.4328288,-55.85474332
131.4478638,-44.24801125,42997,08 45 47.50,-44 14 52.9,6.7,131.4478987,-44.24802773,2.88,-10.28,6.78,0.59,-0.088, ,131.4478638,-44.24801125
131.4553431,-25.38808779,43002,08 45 49.30,-25 23 17.2,6.07,131.4554139,-25.38810636,9.14,-26.32,7.64,0.72,0.084, ,131.4553431,-25.38808779
131.4629476,-37.87731679,43005,08 45 51.11,-37 52 38.4,6.87,131.4629689,-37.87733728,2.7,-6.9,8.43,0.57,0.041, ,131.4629476,-37.87731679
131.4797961,-79.50437284,43012,08 45 55.23,-79 30 16.5,5.79,131.4801445,-79.50457035,5.83,-26.11,81.26,0.46,1.595, ,131.4797961,-79.50437284
131.4859007,-32.16382731,43013,08 45 56.63,-32 09 49.9,6.84,131.4859532,-32.16385057,5.06,-18.28,9.57,0.74,1.149, ,131.4859007,-32.16382731
131.4927385,-54.96038674,43015,08 45 58.27,-54 57 37.5,6.99,131.4928046,-54.96040808,5.7,-15.63,8.78,0.53,0.837, ,131.4927385,-54.96038674
131.5068518,-46.04152748,43023,08 46 01.65,-46 02 29.5,3.87,131.5068946,-46.0415392,2.1,-12.23,4.82,0.53,0.015, ,131.5068518,-46.04152748
131.5103146,-2.04865471,43026,08 46 02.45,-02 02 55.6,5.7,131.5102182,-2.04876829,11.71,39.64,46.73,0.85,1.097, ,131.5103146,-2.04865471
131.5286408,-11.00676764,43035,08 46 06.89,-11 00 24.5,6.22,131.528714,-11.00680266,0.85,-29.59,14.41,1.52,1.608, ,131.5286408,-11.00676764
131.539818,-10.82989382,43039,08 46 09.56,-10 49 47.5,6.79,131.5398224,-10.82986706,0.24,-1.8,-11.01,0.89,1.579, ,131.539818,-10.82989382
131.5808684,-47.54987738,43057,08 46 19.42,-47 32 59.6,6.87,131.5808964,-47.54989551,1.99,-7.76,7.46,0.53,0.255, ,131.5808684,-47.54987738
131.5939083,-13.54772006,43067,08 46 22.53,-13 32 51.7,4.32,131.5938644,-13.54770494,14.38,17.57,-6.22,1.51,0.9, ,131.5939083,-13.54772006
131.5947275,82.23928196,43068,08 46 22.77,+82 14 21.6,6.86,131.5948758,82.23933232,4.79,-8.24,-20.72,0.56,-0.003, ,131.5947275,82.23928196
131.5989878,-41.12538955,43073,08 46 23.77,-41 07 31.4,6.21,131.5990565,-41.12540265,4.53,-21.3,5.39,0.54,-0.05, ,131.5989878,-41.12538955
131.627279,-45.91250455,43082,08 46 30.55,-45 54 45.1,5.43,131.6272964,-45.91251639,0.99,-4.97,4.87,0.54,0.238, ,131.627279,-45.91250455
131.6665842,28.76505859,43100,08 46 40.00,+28 45 54.6,6.58,131.6666512,28.76516551,17.31,-24.18,-43.99,7.8,0.051, ,131.6665842,28.76505859
131.6742522,28.75989827,43103,08 46 41.83,+28 45 36.0,4.03,131.6743096,28.76000509,10.94,-20.69,-43.95,1.35,1.007, ,131.6742522,28.75989827
131.6772883,-56.76977618,43105,08 46 42.56,-56 46 11.3,4.5,131.67733,-56.76979718,5.97,-9.4,8.64,0.43,-0.169, ,131.6772884,-56.76977618
131.689789,-18.75783645,43108,08 46 45.54,-18 45 28.1,6.6,131.6897642,-18.75781885,6.32,9.68,-7.24,0.86,1.032, ,131.689789,-18.75783645
131.6937942,6.418809274,43109,08 46 46.65,+06 25 08.1,3.38,131.6943593,6.41890691,24.13,-231.04,-40.17,1.29,0.685,W,131.6937942,6.41880927
131.7051694,-34.6229448,43114,08 46 49.25,-34 37 22.7,6.33,131.7052073,-34.62295882,3.64,-12.82,5.77,0.59,-0.127, ,131.7051694,-34.6229448
131.7334087,12.10995219,43121,08 46 56.06,+12 06 36.3,5.89,131.7335708,12.11007629,16.38,-65.2,-51.06,1.16,0.12, ,131.7334087,12.10995219
131.77235,-45.07474962,43128,08 47 05.38,-45 04 29.2,6.6,131.7723963,-45.07476552,3.26,-13.45,6.54,0.6,-0.12, ,131.77235,-45.07474962
131.7803561,28.16180359,43129,08 47 07.31,+28 09 43.0,6.6,131.7804626,28.16193907,18.84,-38.62,-55.74,0.84,0.676, ,131.7803561,28.16180359
131.8124404,-1.897032692,43142,08 47 15.01,-01 53 49.4,5.28,131.8125319,-1.89705972,9.61,-37.64,11.12,0.89,0.058, ,131.8124404,-1.89703269
131.8285218,-46.15541509,43148,08 47 18.85,-46 09 19.5,5.71,131.8285352,-46.15542775,0.9,-3.83,5.21,0.54,0.554, ,131.8285218,-46.15541509
131.8394581,-17.05287811,43152,08 47 21.48,-17 03 10.3,6.48,131.8394888,-17.05285288,4.28,-12.09,-10.38,0.78,0.679, ,131.8394581,-17.05287811
131.8494171,-34.6003331,43156,08 47 23.87,-34 36 01.4,6.66,131.8494712,-34.60038754,5.91,-18.32,22.4,0.63,1.429, ,131.8494171,-34.6003331
131.9181422,-38.99196667,43176,08 47 40.36,-38 59 31.1,6.99,131.9181733,-38.99197965,1.26,-9.95,5.34,0.6,-0.161, ,131.9181422,-38.99196667
131.9182891,-41.73679219,43177,08 47 40.41,-41 44 10.5,6.35,131.9183559,-41.7362388,34.55,-20.5,-227.68,0.56,0.578, ,131.9182891,-41.73679219
131.9329877,-38.94148365,43179,08 47 43.92,-38 56 29.4,6.96,131.9330201,-38.94149685,4.54,-10.37,5.43,0.84,-0.1, ,131.9329877,-38.94148365
131.964761,-33.39837936,43186,08 47 51.53,-33 23 54.1,6.81,131.964689,-33.39837297,7.55,24.71,-2.63,0.66,1.158, ,131.964761,-33.39837936
132.0009139,-52.85015129,43195,08 48 00.24,-52 51 00.7,6.29,132.001014,-52.8502078,7.02,-24.89,23.25,0.5,-0.097, ,132.0009139,-52.85015129
132.0033643,-49.574844,43197,08 48 00.84,-49 34 28.9,6.71,132.003485,-49.57468429,23,-32.19,-65.71,0.59,0.424, ,132.0033643,-49.574844
132.0203226,-6.558839392,43204,08 48 04.87,-06 33 31.5,6.09,132.0202885,-6.55876125,4.89,13.95,-32.15,1.07,1.282, ,132.0203226,-6.55883939
132.0365659,-42.46344644,43209,08 48 08.79,-42 27 48.5,6.43,132.0366109,-42.46346345,1.92,-13.65,7,0.55,-0.178, ,132.0365659,-42.46344644
132.0609431,-28.6388,43215,08 48 14.63,-28 38 19.6,6.42,132.0609723,-28.63877951,4.23,-10.55,-8.43,0.68,1.364, ,132.0609431,-28.6388
132.1082107,5.837812454,43234,08 48 25.98,+05 50 16.4,4.35,132.1082535,5.83788486,9.67,-17.51,-29.79,1,-0.044, ,132.1082107,5.83781245
132.1368643,2.563661854,43241,08 48 32.85,+02 33 49.4,6.93,132.1368705,2.56373234,6.08,-2.54,-29,0.99,1.082, ,132.1368643,2.56366185
132.154342,10.43303274,43245,08 48 37.04,+10 25 58.9,6.91,132.1543155,10.43301492,3.93,10.74,7.33,1.04,1.555, ,132.154342,10.43303274
132.156049,-1.044835751,43246,08 48 37.48,-01 02 41.4,6.42,132.1561727,-1.04483247,7.12,-50.89,-1.35,0.83,1.142, ,132.156049,-1.04483575
132.164733,12.54693843,43251,08 48 39.55,+12 32 49.0,6.66,132.1647805,12.5469402,2.24,-19.07,-0.73,1.08,1.642,P,132.1647331,12.54693843
132.2052102,66.70808269,43266,08 48 49.28,+66 42 29.4,6.2,132.2053327,66.70816839,6.34,-19.93,-35.26,0.67,-0.106, ,132.2052102,66.70808269
132.3405259,-3.443023373,43305,08 49 21.74,-03 26 34.7,5.3,132.3405736,-3.44297063,7.45,-19.57,-21.7,0.74,-0.08, ,132.3405259,-3.44302337
132.413164,-40.32015784,43325,08 49 39.17,-40 19 12.6,5.47,132.4131952,-40.32015599,2.05,-9.76,-0.76,0.52,0.066, ,132.413164,-40.32015784
132.4187806,-8.638121877,43330,08 49 40.50,-08 38 16.8,6.82,132.4187685,-8.6379942,11.86,4.91,-52.53,0.83,0.244, ,132.4187806,-8.63812188
132.4372599,-21.04844031,43338,08 49 44.94,-21 02 53.9,6.48,132.4372473,-21.04830272,12.47,4.84,-56.61,0.8,0.256, ,132.4372599,-21.04844031
132.4484918,-45.30787472,43347,08 49 47.65,-45 18 28.5,4.94,132.4485347,-45.30790977,3.94,-12.39,14.42,0.57,0.043, ,132.4484918,-45.30787472
132.4531595,7.014768449,43350,08 49 48.75,+07 00 53.2,6.67,132.4531394,7.01478364,11.56,8.23,-6.25,0.93,1.065, ,132.4531595,7.01476845
132.4588561,-72.55123989,43351,08 49 50.14,-72 33 04.5,6.1,132.4589077,-72.5512595,1.03,-6.36,8.07,0.5,0.185, ,132.4588561,-72.55123989
132.4645822,-32.78052517,43352,08 49 51.50,-32 46 49.5,5.19,132.4645876,-32.78040797,14.26,-1.86,-48.22,1.25,0.876, ,132.4645822,-32.78052517
132.4681309,-39.14160329,43354,08 49 52.40,-39 08 30.1,6.38,132.4683312,-39.14170326,12.82,-63.91,41.13,0.58,0.249,P,132.4681309,-39.14160329
132.4893988,6.547174042,43362,08 49 57.47,+06 32 50.0,6.94,132.4894502,6.54722275,4.67,-20.99,-20.04,1,0.011, ,132.4893988,6.54717404
132.5092962,-29.46299701,43370,08 50 02.24,-29 27 46.8,5.86,132.5093402,-29.46301021,3.47,-15.79,5.43,0.63,0.948, ,132.5092962,-29.46299701
132.5875681,-42.08979111,43392,08 50 21.02,-42 05 23.3,6,132.5875878,-42.08979986,1.71,-6.01,3.6,0.53,-0.114, ,132.5875681,-42.08979111
132.590154,-28.617619,43394,08 50 21.65,-28 37 03.4,6.17,132.5902088,-28.61760308,8.87,-19.8,-6.55,0.6,-0.055, ,132.590154,-28.617619
